Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,ATG,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,3.667,7.334,7.334,7.334,7.334,7.334,11.001,487.711,2757.584,4103.373,5848.865,6490.59,7715.368,8375.428,9266.509,11059.672,13813.589,15298.724,17685.941,20377.519,22548.383,22808.74,24070.188,30172.076,28114.889,28994.969,29710.034,30370.094,33875.746,31719.55,32848.986,34180.107,35712.913,38345.819,38496.166,38767.524,40344.334,42049.489,44147.013,46519.562,49134.133,46985.271,47080.613,43453.95,52951.48,60696.184,65488.953,67172.106,65136.921,68525.229,65430.281,69313.634,72606.6,73809.376,79122.859
Austria,AUT,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,2922.599,3091.281,3241.628,3380.974,3523.987,3424.978,3674.334,3520.32,3747.674,4675.425,5676.516,6563.93,7088.311,7627.36,8280.086,8115.071,9270.176,9424.19,9809.225,9768.888,9292.178,8826.469,8551.444,8690.79,9728.551,10410.613,9255.508,9640.543,9237.173,10058.581,11994.757,12680.486,12449.465,13131.527,13505.561,14748.674,15698.427,15130.042,15529.745,15801.103,15082.371,15984.453,15911.113,17176.228,17590.599,18518.35,17337.576,16336.485,17297.239,16879.201,18602.691,17557.596,16780.192,16171.47,14759.675,15749.765,16450.162
Azerbaijan,AZE,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22618.056,17297.239,16684.85,13318.544,11745.401,11070.673,10608.631,11697.73,11430.039,16589.508,16633.512,17066.218,18639.361,18547.686,20483.862,17594.266,20755.22,18804.376,17982.968,19039.064,19849.471,19933.812,21202.594,21950.662,21525.29
Burundi,BDI,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,62.339,69.673,77.007,69.673,73.34,95.342,201.685,927.751,2394.551,4957.784,7843.713,10824.984,13608.237,16395.157,19167.409,18668.697,19930.145,19688.123,19519.441,21330.939,20406.855,18822.711,15537.079,16307.149,16827.863,16783.859,13494.56,15108.04,14913.689,16571.173,18709.034,20003.485,20725.884,21543.625,22152.347,24301.209,27062.46,25801.012,28569.597,30542.443,30619.45,30186.744,30641.452,32984.665,33369.7,33762.069,34491.802,34304.785,33985.756,34506.47,38353.153,32984.665,32929.66,33175.349,29046.307,31990.908,32749.977
Benin,BEN,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,BFA,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,1133.103,1375.125,1697.821,2126.86,2673.243,3164.621,3575.325,4169.379,4679.092,5764.524,4715.762,4946.783,715.065,1144.104,1382.459,964.421,1411.795,1580.477,1675.819,1917.841,2218.535,2442.222,3168.288,3523.987,4470.073,5089.796,5738.855,5933.206,7003.97,7422.008,7583.356,9064.824,9614.874,10399.612,11481.377,13039.852,13509.228,13274.54,14334.303,15628.754,16893.869,18918.053,19904.476,21407.946,23109.434,24744.916,28279.904,29603.691,32251.265,35470.891,39431.251,39658.605,41748.795,43369.609,45969.512,48782.101,53593.205
Bulgaria,BGR,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,124.678,187.017,568.385,876.413,909.416,825.075,568.385,381.368,385.035,839.743,2225.869,3894.354,4968.785,5298.815,5669.182,7253.326,7898.718,8756.796,9207.837,9299.512,8958.481,9442.525,10791.981,12273.449,11030.336,11122.011,9515.865,8379.095,7832.712,7715.368,9446.192,10711.307,8474.437,7165.318,6153.226,6714.277,6274.237,5507.834,5727.854,5709.519,6420.917,6644.604,6893.96,6673.94,4950.45,5269.479,6024.881,5614.177,5493.166,5412.492,5944.207,6153.226
